Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
lnco2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L.P_Adviceoraidinimplementa_Y3R	0.00202																																								
	(0.00171)																																								
	0.23779																																								
L.P_Adviceoraidinimplementa_CmY3R	-0.00373***																																								
	(0.00068)																																								
	0.00000																																								
																																								(0.00347)	
																																								0.04530	
L.P_Voluntaryapproaches_Y3R																																									0.00644*
																																									(0.00334)
																																									0.05424
L.P_Voluntaryapproaches_CmY3R																																									-0.00491***
																																									(0.00094)
																																									0.00000
Constant	-6.16442***	-6.16078***	-5.59348***	-6.09927***	-5.83365***	-6.14283***	-5.98364***	-5.85360***	-6.24463***	-5.79374***	-3.47766***	-4.23041***	-6.04099***	-6.20820***	-5.82318***	-5.69684***	-6.00598***	-6.40868***	-6.12579***	-6.22058***	-6.23516***	-6.06301***	-6.19000***	-6.20488***	-4.94788***	-6.17401***	-6.33232***	-6.31460***	-6.32541***	-6.39093***	-6.19320***	-6.34566***	-6.41587***	-6.20510***	-6.30118***	-6.21364***	-6.02705***	-6.18979***	-6.24696***	-6.26604***	-6.18667***
	(1.20282)	(1.20786)	(1.22185)	(1.20109)	(1.20866)	(1.19975)	(1.21545)	(1.20267)	(1.19077)	(1.22378)	(1.20417)	(1.20869)	(1.20194)	(1.21555)	(1.21975)	(1.22481)	(1.20301)	(1.19593)	(1.20577)	(1.19964)	(1.20417)	(1.20770)	(1.20183)	(1.20166)	(1.23342)	(1.20307)	(1.19433)	(1.20323)	(1.18274)	(1.19710)	(1.19345)	(1.19810)	(1.20583)	(1.21146)	(1.19063)	(1.20506)	(1.20214)	(1.20318)	(1.19687)	(1.20621)	(1.20176)
	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00391	0.00047	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
																																									
Observations	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340	2,340
R-squared	0.94827	0.94821	0.94861	0.94836	0.94870	0.94833	0.94837	0.94884	0.94853	0.94846	0.95274	0.95088	0.94845	0.94839	0.94864	0.94868	0.94853	0.94810	0.94831	0.94823	0.94822	0.94836	0.94825	0.94830	0.95010	0.94828	0.94830	0.94812	0.94832	0.94810	0.94835	0.94813	0.94811	0.94820	0.94819	0.94823	0.94849	0.94827	0.94823	0.94815	0.94825
Country FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
r2_within	0.166	0.165	0.171	0.167	0.173	0.167	0.167	0.175	0.170	0.169	0.238	0.208	0.169	0.168	0.172	0.172	0.170	0.163	0.166	0.165	0.165	0.167	0.165	0.166	0.195	0.166	0.166	0.163	0.167	0.163	0.167	0.163	0.163	0.165	0.164	0.165	0.169	0.166	0.165	0.164	0.165
Robust standard errors in parentheses																																									
*** p<0.01, ** p<0.05, * p<0.1																																									
